N,level,district,province,pupils,schools,year
,nursery,Nyagatare,east,9295,141,2017
,nursery,Rwamagana,east,7797,138,2017
,nursery,Burera,north,7597,111,2017
,nursery,Gakenke,north,8579,136,2017
,nursery,Gicumbi,north,8472,146,2017
,nursery,Musanze,north,8633,142,2017
,nursery,Rulindo,north,7490,97,2017
,nursery,Gasabo,kigali,11850,113,2017
,nursery,Kicukiro,kigali,8541,94,2017
,nursery,Nyarugenge,kigali,5820,64,2017
,primary,Huye,south,67906,98,2017
,primary,Kamonyi,south,83187,94,2017
,primary,Muhanga,south,70761,120,2017
,primary,Nyamagabe,south,87539,108,2017
,primary,Nyanza,south,77677,84,2017
,primary,Nyaruguru,south,73228,90,2017
,primary,Ruhango,south,77755,78,2017
,primary,Karongi,west,87194,125,2017
,primary,Ngororero,west,87025,99,2017
,primary,Nyabihu,west,73418,92,2017
,primary,Nyamasheke,west,95516,139,2017
,primary,Rubavu,west,98259,87,2017
,primary,Rusizi,west,95434,119,2017
,primary,Rutsiro,west,85515,92,2017
,primary,Bugesera,east,92148,99,2017
,primary,Gatsibo,east,115899,91,2017
,primary,Kayonza,east,89056,90,2017
,primary,Kirehe,east,102003,64,2017
,primary,Ngoma,east,86006,77,2017
,primary,Nyagatare,east,116503,158,2017
,primary,Rwamagana,east,7734,77,2017
,primary,Burera,north,87967,91,2017
,primary,Gakenke,north,75594,118,2017
,primary,Gicumbi,north,95608,104,2017
,primary,Musanze,north,89932,96,2017
,primary,Rulindo,north,65623,88,2017
,primary,Gasabo,kigali,96694,110,2017
,primary,Kicukiro,kigali,51953,81,2017
,primary,Nyarugenge,kigali,53997,44,2017
,secondary School,Gisagara,south,14958,39,2017
,secondary School,Huye,south,17643,50,2017
,secondary School,Kamonyi,south,20484,56,2017
,secondary School,Muhanga,south,24228,60,2017
,secondary School,Nyamagabe,south,20057,53,2017
,secondary School,Nyanza,south,19835,48,2017
,secondary School,Nyaruguru,south,17312,46,2017
,secondary School,Ruhango,south,21769,52,2017
,secondary School,Karongi,west,22392,59,2017
,secondary School,Ngororero,west,15160,49,2017
,secondary School,Nyabihu,west,17248,44,2017
,secondary School,Nyamasheke,west,25001,57,2017
,secondary School,Rubavu,west,23043,54,2017
,secondary School,Rusizi,west,24191,62,2017
,secondary School,Rutsiro,west,17756,48,2017
,secondary School,Bugesera,east,16326,43,2017
,secondary School,Gatsibo,east,23634,59,2017
,secondary School,Kayonza,east,17814,47,2017
,secondary School,Kirehe,east,17134,51,2017
,secondary School,Ngoma,east,16368,55,2017
,secondary School,Nyagatare,east,23109,53,2017
,secondary School,Rwamagana,east,19164,56,2017
,secondary School,Burera,north,17893,44,2017
,secondary School,Gakenke,north,16439,56,2017
,secondary School,Gicumbi,north,24409,76,2017
,secondary School,Musanze,north,24829,54,2017
,secondary School,Rulindo,north,18444,66,2017
,secondary School,Gasabo,kigali,20391,54,2017
,secondary School,Kicukiro,kigali,20046,42,2017
,secondary School,Nyarugenge,kigali,15424,34,2017
,TVET1&2,Gisagara,south,43,4,2017
,TVET1&2,Huye,south,73,9,2017
,TVET1&2,Kamonyi,south,52,6,2017
,TVET1&2,Muhanga,south,82,9,2017
,TVET1&2,Nyamagabe,south,74,8,2017
,TVET1&2,Nyanza,south,86,6,2017
,TVET1&2,Nyaruguru,south,23,2,2017
,TVET1&2,Ruhango,south,187,10,2017
,TVET1&2,Karongi,west,52,5,2017
,TVET1&2,Ngororero,west,51,5,2017
,TVET1&2,Nyabihu,west,39,5,2017
,TVET1&2,Nyamasheke,west,55,6,2017
,TVET1&2,Rubavu,west,54,8,2017
,TVET1&2,Rusizi,west,54,6,2017
,TVET1&2,Rutsiro,west,45,2,2017
,TVET1&2,Bugesera,east,128,8,2017
,TVET1&2,Gatsibo,east,45,5,2017
,TVET1&2,Kayonza,east,90,7,2017
,TVET1&2,Kirehe,east,36,3,2017
,TVET1&2,Ngoma,east,52,7,2017
,TVET1&2,Nyagatare,east,8,1,2017
,TVET1&2,Rwamagana,east,62,9,2017
,TVET1&2,Burera,north,13,1,2017
,TVET1&2,Gakenke,north,28,5,2017
,TVET1&2,Gicumbi,north,50,7,2017
,TVET1&2,Musanze,north,79,9,2017
,TVET1&2,Rulindo,north,57,6,2017
,TVET1&2,Gasabo,kigali,126,11,2017
,TVET1&2,Kicukiro,kigali,192,16,2017
,TVET1&2,Nyarugenge,kigali,90,7,2017
